!direction	0
!num_genes	1000
!diffexp_method	chdir
!cutoff	1000
!correction_method	None
!threshold	None
!organism	Homo sapiens
!disease	Autism Spectrum Disorder
!end_metadata
TMEM176A	-0.090003
ORM1	0.077311
PHOSPHO1	-0.067539
CD160	0.066680
CLC	0.066024
SPON2	0.061092
G0S2	0.060493
PRSS33	0.057650
HLA-DQA1	0.057032
MALAT1	0.056491
CCL4	0.056358
C4BPA	0.054552
CST7	0.054319
HIST1H2BG	0.052366
CD177	0.051908
CPA3	0.049870
TMEM176B	-0.049397
ANXA3	0.049190
AKR1C3	0.047800
FOS	0.044472
KLRF1	0.044134
CD69	0.043253
FLVCR1-AS1	-0.043051
ALOX15	0.042989
FLJ12120	0.042647
PSPH	0.042493
LGR6	0.041883
SH2D1B	0.041755
EMR1	0.041524
FGFBP2	0.041176
GZMH	0.041135
EGR1	0.041085
C17orf97	-0.040946
RNF19B	-0.040549
MS4A3	0.039854
PTENP1	0.039458
CLIC3	0.039159
IDO1	0.038928
SNORA28	0.038668
RNASE3	0.038615
ND6	0.038609
DDIT4	0.038573
GPX3	-0.038189
LOC729083	-0.038038
PRKXP1	-0.036686
DLGAP5	-0.035982
UHRF1	-0.035677
NKG7	0.035427
TBX21	0.035414
PSENEN	-0.035250
IL18RAP	0.035160
LOC285812	0.034939
DSC2	0.034854
CLEC1B	0.034813
SCARNA17	0.034626
CEBPE	0.034605
KLF13	0.034470
BCL2A1	0.034064
S1PR5	0.034037
CCL23	0.033919
FOLR3	0.033796
TRANK1	-0.033788
GFOD1	0.033652
PTGDR2	0.033579
GFI1B	0.033376
OR52K3P	-0.033278
RNASE2	0.033267
PRSS23	0.033260
F2RL1	-0.033089
FASLG	0.033042
NCAPG2	-0.032595
BATF2	-0.032415
SLX4IP	0.032327
GADD45A	0.032033
PRF1	0.031994
HIST1H3H	0.031911
BACE2	0.031902
HDC	0.031815
MLC1	0.031484
GRAMD1C	-0.031264
HPGD	0.031237
EGR2	0.031191
PTGDR	0.031131
PFKFB3	0.031041
NAP1L3	-0.030795
UTS2	0.030786
FOSB	0.030720
GZMB	0.030663
IL24	0.030300
SOCS3	0.030258
RRM2	-0.030170
ARHGAP18	0.030169
TIGD3	-0.030131
RUSC1-AS1	0.029890
SMC3	0.029834
LOC283357	-0.029816
KLRD1	0.029790
LOC643072	-0.029630
CYP4F3	-0.029595
IFI44L	0.029573
CCNT1	-0.029550
ETV7	-0.029361
LAIR2	0.029309
SMPD3	0.029272
NRIP1	-0.029209
KIF20A	-0.029191
LOC100130872	0.029135
IFI16	0.028935
IGF2R	-0.028884
APMAP	0.028828
GZMA	0.028806
DTL	-0.028786
ADORA3	0.028775
ZNF600	0.028765
TTC7B	0.028575
CHST2	0.028511
NSG1	-0.028404
NQO2	0.028362
STXBP1	-0.028347
PF4V1	0.028281
TRIP13	-0.028126
CD24	0.028106
ASF1B	-0.028025
HLA-DQB1	0.027939
CCR5	-0.027861
SLC29A1	0.027767
LOC101928893	-0.027705
OLIG2	0.027664
CEP55	-0.027653
TET2	0.027606
IL5RA	0.027537
MMD	0.027526
RNASE4	-0.027464
MAP3K7CL	0.027423
PDGFD	0.027419
MICALCL	-0.027381
BEX5	-0.027254
FCRL5	0.027245
HBB	-0.027245
PYGL	0.027110
CES1	-0.027020
MATK	0.026893
LOC145474	-0.026883
DDX24	0.026832
LOC286087	-0.026772
KIR2DL2	0.026770
PEX6	0.026732
NOV	-0.026721
GPR82	0.026640
OSM	0.026628
KIR3DL1	0.026587
RNF24	-0.026561
SKAP1	0.026542
LGALS1	-0.026464
LOC283588	-0.026424
TAC4	0.026325
NHS	-0.026136
XK	0.026097
CXCL1	0.026096
LOC100288675	0.026019
IGFBP7	0.025964
SIGLEC8	0.025932
GPR56	0.025861
KLRK1	0.025846
ARG1	0.025782
CLEC4D	0.025689
BZRAP1	0.025670
CASP5	0.025430
KRT72	0.025397
TLR5	0.025380
NAP1L2	-0.025324
OLIG1	0.025251
WIPI1	0.025201
SPC25	-0.025164
CDC42EP2	-0.025147
VSTM1	0.025085
PLK1	-0.025010
HIST1H2BC	-0.024854
CCR2	-0.024833
CAT	0.024807
NETO2	-0.024763
IGLV4-60	0.024752
ANKRD13D	0.024606
TPX2	-0.024586
SLC25A20	0.024503
C3AR1	0.024472
GNG11	0.024456
HMMR	-0.024429
DPP4	-0.024408
MAP7	-0.024351
LOC100505501	0.024239
VIT	0.024230
DAAM2	-0.024166
ADM	0.024103
SNHG5	-0.024092
TRIM58	0.024077
SDC2	-0.024010
PDLIM1	0.023900
SPNS3	0.023832
ENPP2	0.023832
LOC285835	-0.023810
NINJ1	-0.023805
FAR2	-0.023721
TNFSF4	0.023675
ALDH1A1	-0.023673
NHSL2	-0.023660
EVL	0.023659
TRDV3	0.023515
ZFP36L2	-0.023414
SPOCK1	-0.023408
KIF11	-0.023346
PPP1R10	0.023327
NINJ2	-0.023313
IL4R	0.023274
CYP2S1	-0.023242
SLC37A3	0.023242
PUS7	-0.023210
PIK3R6	0.023178
ST3GAL4-AS1	0.023132
GZMK	-0.023117
SLC16A14	0.023091
TMEM140	-0.023087
KIR2DL3	0.022963
ZBTB16	0.022907
EOMES	0.022907
FAM110C	0.022855
SERPING1	-0.022848
ZXDA	-0.022770
TUBB1	0.022708
TMEM185B	0.022613
CPPED1	-0.022607
FAM179A	0.022575
GDPD3	0.022569
