!direction	-1
!num_genes	487
!diffexp_method	chdir
!cutoff	1000
!correction_method	None
!threshold	None
!organism	Homo sapiens
!disease	Autism Spectrum Disorder
!end_metadata
TMEM176A	-0.090003
PHOSPHO1	-0.067539
TMEM176B	-0.049397
FLVCR1-AS1	-0.043051
C17orf97	-0.040946
RNF19B	-0.040549
GPX3	-0.038189
LOC729083	-0.038038
PRKXP1	-0.036686
DLGAP5	-0.035982
UHRF1	-0.035677
PSENEN	-0.035250
TRANK1	-0.033788
OR52K3P	-0.033278
F2RL1	-0.033089
NCAPG2	-0.032595
BATF2	-0.032415
GRAMD1C	-0.031264
NAP1L3	-0.030795
RRM2	-0.030170
TIGD3	-0.030131
LOC283357	-0.029816
LOC643072	-0.029630
CYP4F3	-0.029595
CCNT1	-0.029550
ETV7	-0.029361
NRIP1	-0.029209
KIF20A	-0.029191
IGF2R	-0.028884
DTL	-0.028786
NSG1	-0.028404
STXBP1	-0.028347
TRIP13	-0.028126
ASF1B	-0.028025
CCR5	-0.027861
LOC101928893	-0.027705
CEP55	-0.027653
RNASE4	-0.027464
MICALCL	-0.027381
BEX5	-0.027254
HBB	-0.027245
CES1	-0.027020
LOC145474	-0.026883
LOC286087	-0.026772
NOV	-0.026721
RNF24	-0.026561
LGALS1	-0.026464
LOC283588	-0.026424
NHS	-0.026136
NAP1L2	-0.025324
SPC25	-0.025164
CDC42EP2	-0.025147
PLK1	-0.025010
HIST1H2BC	-0.024854
CCR2	-0.024833
NETO2	-0.024763
TPX2	-0.024586
HMMR	-0.024429
DPP4	-0.024408
MAP7	-0.024351
DAAM2	-0.024166
SNHG5	-0.024092
SDC2	-0.024010
LOC285835	-0.023810
NINJ1	-0.023805
FAR2	-0.023721
ALDH1A1	-0.023673
NHSL2	-0.023660
ZFP36L2	-0.023414
SPOCK1	-0.023408
KIF11	-0.023346
NINJ2	-0.023313
CYP2S1	-0.023242
PUS7	-0.023210
GZMK	-0.023117
TMEM140	-0.023087
SERPING1	-0.022848
ZXDA	-0.022770
CPPED1	-0.022607
ATP6V1A	-0.022560
ARSA	-0.022552
LOC727820	-0.022543
KIF14	-0.022493
SOWAHC	-0.022488
DHRS9	-0.022415
ZNF280C	-0.022373
CDC6	-0.022359
ARRDC4	-0.022323
CDC45	-0.022296
TMEM252	-0.022264
PRRG4	-0.022208
RPS26	-0.022201
TREML3P	-0.022071
PBK	-0.022070
ANG	-0.021968
KIF15	-0.021920
POLR2E	-0.021909
CCR9	-0.021894
TBC1D5	-0.021826
WLS	-0.021803
EPHX1	-0.021721
CACNA2D3	-0.021709
TPST1	-0.021657
TXNDC16	-0.021603
MIR101-1	-0.021571
TREML4	-0.021517
LXN	-0.021488
FABP5	-0.021459
HLA-DRB4	-0.021441
CHAMP1	-0.021369
SNX10	-0.021310
LOC100506100	-0.021306
CD93	-0.021305
CDC20	-0.021226
C6orf62	-0.021170
GNE	-0.020931
MID1IP1	-0.020926
PLEC	-0.020910
USF1	-0.020862
HYMAI	-0.020855
S100P	-0.020728
KIF4A	-0.020693
TP53INP2	-0.020645
CENPK	-0.020620
BSG	-0.020554
TK1	-0.020493
SP1	-0.020463
PVRL2	-0.020435
ZCCHC24	-0.020366
ATG2A	-0.020288
IL1RAP	-0.020230
LGALS2	-0.020205
ZBTB21	-0.020172
C5AR2	-0.020086
LOC100507397	-0.020081
BUB1B	-0.020067
ADAMTS5	-0.020037
SPAG1	-0.019994
PPP4C	-0.019913
TRAPPC1	-0.019833
NUDT16P1	-0.019810
HLA-DPB2	-0.019804
NCAPH	-0.019726
GPBAR1	-0.019713
MELK	-0.019644
KIAA1324	-0.019617
SLC35E3	-0.019597
TNFSF12	-0.019556
GRN	-0.019555
MT1E	-0.019528
C1orf54	-0.019488
NFXL1	-0.019487
KIF18B	-0.019466
THAP1	-0.019411
SLC22A18	-0.019398
SPATA2	-0.019378
CAMP	-0.019376
DARS2	-0.019340
LRRK2	-0.019302
GINS1	-0.019247
NUP50-AS1	-0.019207
SERTAD3	-0.019184
IL6R	-0.019149
KIAA0101	-0.019110
PRR34-AS1	-0.019089
NUSAP1	-0.019039
CENPW	-0.019020
CENPM	-0.018986
SNX27	-0.018969
ZNF652	-0.018902
SKA3	-0.018855
UBE2C	-0.018791
PHYH	-0.018778
NANP	-0.018774
CDCA8	-0.018763
DKFZP434I0714	-0.018742
DPM3	-0.018736
CCNB1	-0.018689
CFAP45	-0.018665
CRYBG3	-0.018657
SLC16A6	-0.018634
KBTBD7	-0.018633
FZD2	-0.018573
POLE2	-0.018510
FAM86B1	-0.018490
C11orf54	-0.018403
CENPE	-0.018372
MKI67	-0.018369
A1BG	-0.018361
FXYD6	-0.018353
RPGRIP1	-0.018352
EXOC8	-0.018351
RELL1	-0.018326
AOC1	-0.018247
NPTN-IT1	-0.018203
CENPN	-0.018180
RMI1	-0.018179
MAD2L1	-0.018179
ENDOG	-0.018178
CDKN3	-0.018175
PLEKHM3	-0.018159
LETM2	-0.018144
ELMO1	-0.018138
RAB11FIP1	-0.018091
LOXL1-AS1	-0.018085
ISL2	-0.018038
LAMP2	-0.018030
MED25	-0.017997
C5orf28	-0.017976
CXCR3	-0.017944
SIPA1L1	-0.017892
CSF1R	-0.017840
ARFIP1	-0.017805
CLTCL1	-0.017781
GGH	-0.017697
KCNE3	-0.017671
CORO1B	-0.017643
AOC2	-0.017615
LSR	-0.017586
LINC00968	-0.017554
C2orf40	-0.017548
DICER1	-0.017522
POLB	-0.017474
AKIRIN1	-0.017445
CDCA3	-0.017399
SIGLEC5	-0.017388
SHCBP1	-0.017379
HPSE	-0.017348
RAB8A	-0.017309
CREB5	-0.017303
CXCR6	-0.017301
CYP4F2	-0.017300
RPS16P5	-0.017280
ROGDI	-0.017252
LYPLA1	-0.017241
RUNX1-IT1	-0.017225
LOC100190986	-0.017171
CCNA2	-0.017152
SPECC1	-0.017125
NFAM1	-0.017116
LRP11	-0.017115
CDCA5	-0.017113
SCARB2	-0.017111
ARF3	-0.017099
SLC19A2	-0.017093
LINC00094	-0.017070
GUSBP5	-0.017034
TAGLN2	-0.017011
SPTSSA	-0.017010
ABHD14B	-0.016985
RACGAP1	-0.016981
CDK1	-0.016946
ANXA7	-0.016944
MMP24-AS1	-0.016927
MYADM	-0.016908
BRCA1	-0.016882
GPR19	-0.016875
TPPP3	-0.016873
NEFH	-0.016858
FAM96B	-0.016839
SDE2	-0.016802
ARL15	-0.016797
PRO2852	-0.016790
RARA	-0.016784
DEPDC1B	-0.016778
LINC00622	-0.016775
SRD5A1	-0.016772
MCM4	-0.016763
HSF5	-0.016758
KLHL8	-0.016730
CHCHD10	-0.016693
RBM7	-0.016692
SNX16	-0.016690
ZNF516	-0.016656
VSIG1	-0.016650
CYBRD1	-0.016635
UGDH	-0.016631
CCR4	-0.016597
PSME3	-0.016571
CBR3	-0.016558
YIPF3	-0.016556
CDT1	-0.016543
EVA1B	-0.016537
OIP5	-0.016520
PTTG1	-0.016514
CPNE3	-0.016512
LOC100289230	-0.016500
SF3B4	-0.016493
ZNF213	-0.016470
MXI1	-0.016428
ZBTB6	-0.016427
PPM1D	-0.016426
CYFIP1	-0.016425
TMEM33	-0.016425
ZNF880	-0.016397
CPVL	-0.016384
ABCD2	-0.016380
HMGB3	-0.016375
BEND3	-0.016338
RPS6KA5	-0.016317
NAA38	-0.016309
LOC100289061	-0.016299
KDM6B	-0.016299
GBP5	-0.016298
XPR1	-0.016297
SYPL2	-0.016296
C20orf27	-0.016285
ZNF385A	-0.016285
RFX2	-0.016262
PRC1	-0.016260
FAM19A2	-0.016258
MADCAM1	-0.016205
BTBD18	-0.016197
ELOVL4	-0.016195
KCNJ2	-0.016172
TEKT4P2	-0.016171
SPRYD4	-0.016149
LAMTOR4	-0.016140
FAM174A	-0.016132
RBBP8	-0.016103
TSPAN2	-0.016049
RTN2	-0.016042
CECR1	-0.016023
CHST7	-0.015988
LTF	-0.015985
HMOX1	-0.015981
SMCO4	-0.015977
CCNE2	-0.015965
ABCC6	-0.015942
NCF1C	-0.015912
LOC285147	-0.015878
SLC39A10	-0.015872
ZNF791	-0.015849
SLC36A4	-0.015826
TRAPPC5	-0.015798
DENND1A	-0.015760
CREB1	-0.015749
C12orf66	-0.015737
ADTRP	-0.015717
SMIM20	-0.015703
ZNF117	-0.015700
C14orf132	-0.015694
LOC284513	-0.015685
RRM2B	-0.015657
GPAT2	-0.015625
MICAL2	-0.015621
E2F8	-0.015618
PSRC1	-0.015598
SLC8A1-AS1	-0.015596
MT1F	-0.015573
OR14J1	-0.015563
LGALS8-AS1	-0.015552
SLC20A1	-0.015539
RRM1	-0.015538
CNIH1	-0.015532
SIGLEC16	-0.015487
SOCS4	-0.015486
ORC1	-0.015485
TMEM102	-0.015484
CMTM8	-0.015456
NR3C2	-0.015453
ROMO1	-0.015440
TUBG1	-0.015425
CYP1B1	-0.015389
NDE1	-0.015354
KIAA0232	-0.015350
TSPAN4	-0.015328
SERPINB2	-0.015326
NNT-AS1	-0.015298
ZEB1-AS1	-0.015289
ENO1-AS1	-0.015229
CDA	-0.015184
ERH	-0.015175
ATP1B1	-0.015108
PRMT3	-0.015105
TRPC1	-0.015103
IL1A	-0.015084
SLC16A1	-0.015082
ST6GALNAC3	-0.015069
CASP8	-0.015033
SLC43A2	-0.015018
PIGA	-0.014996
MYOF	-0.014995
MTX1	-0.014976
TMEM230	-0.014963
GLB1	-0.014959
SENCR	-0.014956
MPZL1	-0.014952
NR1H2	-0.014950
HCG11	-0.014948
DEFB129	-0.014933
P2RY13	-0.014925
JUND	-0.014922
FAM212B	-0.014909
HJURP	-0.014899
ABHD17C	-0.014893
EFHD1	-0.014893
LINC00339	-0.014882
EIF4EBP1	-0.014878
EIF4E3	-0.014866
LINC00116	-0.014854
AMD1	-0.014839
KIF2C	-0.014816
CHIC2	-0.014783
FAM83D	-0.014756
TMEM160	-0.014733
PLXNC1	-0.014723
RC3H1	-0.014706
ERLIN2	-0.014704
MIR30C2	-0.014704
MOB3A	-0.014680
LRRC8B	-0.014675
GTF2H2B	-0.014668
HSP90AB1	-0.014657
ARHGAP27	-0.014655
PPFIA4	-0.014655
LOC150051	-0.014650
CEACAM4	-0.014646
DMXL2	-0.014642
NDUFB5	-0.014622
TMTC2	-0.014618
SMC2	-0.014610
TESK2	-0.014605
PLA2G7	-0.014603
UBR2	-0.014588
OCEL1	-0.014574
AGO2	-0.014551
APOBEC3C	-0.014545
SEMA4A	-0.014510
CPED1	-0.014498
CAB39L	-0.014472
NEBL-AS1	-0.014470
CXorf57	-0.014469
ARL13B	-0.014467
TNS3	-0.014464
SNX7	-0.014453
HIGD2A	-0.014451
C11orf68	-0.014450
CYP27A1	-0.014442
CLEC4G	-0.014427
AGO3	-0.014411
SELM	-0.014395
C15orf39	-0.014395
SLC6A12	-0.014391
FZD6	-0.014391
UPK3A	-0.014390
RSBN1	-0.014380
TTK	-0.014378
TIRAP	-0.014375
ALYREF	-0.014368
USP44	-0.014361
SLC45A4	-0.014356
TMCC3	-0.014351
OPTC	-0.014330
TST	-0.014324
TMEM14A	-0.014320
NFE4	-0.014313
GMNN	-0.014275
COL5A3	-0.014255
MASTL	-0.014227
SLC46A2	-0.014225
BID	-0.014188
MYCBP2	-0.014162
CASP2	-0.014139
OGFRL1	-0.014130
RBP7	-0.014125
RYBP	-0.014123
CCDC167	-0.014121
DYNLT3	-0.014080
CRNKL1	-0.014077
PLGLB2	-0.014073
NOD2	-0.014063
GSTM2	-0.014062
PELI2	-0.014060
LOC100507670	-0.014046
ACTN4	-0.014032
DDX43	-0.014008
MGC16275	-0.014005
CLEC10A	-0.014001
SMNDC1	-0.013994
UBL7	-0.013994
RPS24	-0.013992
BIRC5	-0.013984
RHPN2	-0.013982
EOGT	-0.013974
SLC35A3	-0.013943
GTSF1	-0.013921
