!direction	1
!num_genes	513
!diffexp_method	chdir
!cutoff	1000
!correction_method	None
!threshold	None
!organism	Homo sapiens
!disease	Autism Spectrum Disorder
!end_metadata
ORM1	0.077311
CD160	0.066680
CLC	0.066024
SPON2	0.061092
G0S2	0.060493
PRSS33	0.057650
HLA-DQA1	0.057032
MALAT1	0.056491
CCL4	0.056358
C4BPA	0.054552
CST7	0.054319
HIST1H2BG	0.052366
CD177	0.051908
CPA3	0.049870
ANXA3	0.049190
AKR1C3	0.047800
FOS	0.044472
KLRF1	0.044134
CD69	0.043253
ALOX15	0.042989
FLJ12120	0.042647
PSPH	0.042493
LGR6	0.041883
SH2D1B	0.041755
EMR1	0.041524
FGFBP2	0.041176
GZMH	0.041135
EGR1	0.041085
MS4A3	0.039854
PTENP1	0.039458
CLIC3	0.039159
IDO1	0.038928
SNORA28	0.038668
RNASE3	0.038615
ND6	0.038609
DDIT4	0.038573
NKG7	0.035427
TBX21	0.035414
IL18RAP	0.035160
LOC285812	0.034939
DSC2	0.034854
CLEC1B	0.034813
SCARNA17	0.034626
CEBPE	0.034605
KLF13	0.034470
BCL2A1	0.034064
S1PR5	0.034037
CCL23	0.033919
FOLR3	0.033796
GFOD1	0.033652
PTGDR2	0.033579
GFI1B	0.033376
RNASE2	0.033267
PRSS23	0.033260
FASLG	0.033042
SLX4IP	0.032327
GADD45A	0.032033
PRF1	0.031994
HIST1H3H	0.031911
BACE2	0.031902
HDC	0.031815
MLC1	0.031484
HPGD	0.031237
EGR2	0.031191
PTGDR	0.031131
PFKFB3	0.031041
UTS2	0.030786
FOSB	0.030720
GZMB	0.030663
IL24	0.030300
SOCS3	0.030258
ARHGAP18	0.030169
RUSC1-AS1	0.029890
SMC3	0.029834
KLRD1	0.029790
IFI44L	0.029573
LAIR2	0.029309
SMPD3	0.029272
LOC100130872	0.029135
IFI16	0.028935
APMAP	0.028828
GZMA	0.028806
ADORA3	0.028775
ZNF600	0.028765
TTC7B	0.028575
CHST2	0.028511
NQO2	0.028362
PF4V1	0.028281
CD24	0.028106
HLA-DQB1	0.027939
SLC29A1	0.027767
OLIG2	0.027664
TET2	0.027606
IL5RA	0.027537
MMD	0.027526
MAP3K7CL	0.027423
PDGFD	0.027419
FCRL5	0.027245
PYGL	0.027110
MATK	0.026893
DDX24	0.026832
KIR2DL2	0.026770
PEX6	0.026732
GPR82	0.026640
OSM	0.026628
KIR3DL1	0.026587
SKAP1	0.026542
TAC4	0.026325
XK	0.026097
CXCL1	0.026096
LOC100288675	0.026019
IGFBP7	0.025964
SIGLEC8	0.025932
GPR56	0.025861
KLRK1	0.025846
ARG1	0.025782
CLEC4D	0.025689
BZRAP1	0.025670
CASP5	0.025430
KRT72	0.025397
TLR5	0.025380
OLIG1	0.025251
WIPI1	0.025201
VSTM1	0.025085
CAT	0.024807
IGLV4-60	0.024752
ANKRD13D	0.024606
SLC25A20	0.024503
C3AR1	0.024472
GNG11	0.024456
LOC100505501	0.024239
VIT	0.024230
ADM	0.024103
TRIM58	0.024077
PDLIM1	0.023900
SPNS3	0.023832
ENPP2	0.023832
